gvh,aac,alm1,alm2,species
0.29,0.56,0.24,0.35,cytoplasm
0.4,0.54,0.35,0.44,cytoplasm
0.4,0.49,0.37,0.46,cytoplasm
0.49,0.52,0.45,0.36,cytoplasm
0.32,0.55,0.25,0.35,cytoplasm
0.39,0.36,0.38,0.46,cytoplasm
0.28,0.44,0.23,0.34,cytoplasm
0.34,0.51,0.28,0.39,cytoplasm
0.44,0.46,0.51,0.57,cytoplasm
0.4,0.56,0.18,0.3,cytoplasm
0.24,0.57,0.27,0.37,cytoplasm
0.48,0.44,0.17,0.29,cytoplasm
0.32,0.46,0.24,0.35,cytoplasm
0.5,0.46,0.32,0.35,cytoplasm
0.43,0.48,0.16,0.28,cytoplasm
0.4,0.46,0.44,0.52,cytoplasm
0.45,0.38,0.24,0.35,cytoplasm
0.27,0.55,0.52,0.58,cytoplasm
0.4,0.39,0.28,0.38,cytoplasm
0.57,0.39,0.21,0.32,cytoplasm
0.45,0.38,0.22,0,cytoplasm
0.23,0.73,0.05,0.14,cytoplasm
0.54,0.41,0.34,0.43,cytoplasm
0.16,0.56,0.11,0.23,cytoplasm
0.39,0.48,0.22,0.23,cytoplasm
0.37,0.48,0.44,0.52,cytoplasm
0.4,0.47,0.33,0.42,cytoplasm
0.51,0.5,0.32,0.41,cytoplasm
0.37,0.53,0.35,0.44,cytoplasm
0.39,0.47,0.31,0.41,cytoplasm
0.38,0.44,0.26,0.36,cytoplasm
0.33,0.38,0.35,0.44,cytoplasm
0.51,0.34,0.37,0.46,cytoplasm
0.29,0.42,0.35,0.44,cytoplasm
0.35,0.31,0.19,0.31,cytoplasm
0.54,0.41,0.38,0.46,cytoplasm
0.52,0.42,0.29,0.39,cytoplasm
0.47,0.59,0.3,0.4,cytoplasm
0.42,0.35,0.28,0.38,cytoplasm
0.46,0.48,0.22,0.29,cytoplasm
0.45,0.52,0.32,0.41,cytoplasm
0.37,0.59,0.41,0.49,cytoplasm
0.5,0.45,0.39,0.47,cytoplasm
0.38,0.5,0.33,0.42,cytoplasm
0.45,0.48,0.35,0.41,cytoplasm
0.38,0.45,0.42,0.5,cytoplasm
0.35,0.55,0.55,0.61,cytoplasm
0.4,0.39,0.28,0.39,cytoplasm
0.35,0.58,0.15,0.27,cytoplasm
0.33,0.43,0.33,0.43,cytoplasm
0.52,0.42,0.42,0.36,cytoplasm
0.3,0.45,0.03,0.17,cytoplasm
0.36,0.35,0.39,0.47,cytoplasm
0.58,0.37,0.53,0.59,cytoplasm
0.47,0.22,0.16,0.26,cytoplasm
0.47,0.28,0.33,0.42,cytoplasm
0.37,0.35,0.36,0.45,cytoplasm
0.35,0.45,0.33,0.42,cytoplasm
0.34,0.3,0.33,0.43,cytoplasm
0.38,0.54,0.34,0.43,cytoplasm
0.56,0.5,0.46,0.54,cytoplasm
0.36,0.41,0.28,0.38,cytoplasm
0.41,0.48,0.47,0.54,cytoplasm
0.3,0.46,0.24,0.35,cytoplasm
0.29,0.51,0.33,0.43,cytoplasm
0.43,0.54,0.52,0.59,cytoplasm
0.37,0.41,0.33,0.42,cytoplasm
0.57,0.42,0.47,0.54,cytoplasm
0.37,0.43,0.26,0.36,cytoplasm
0.48,0.56,0.4,0.48,cytoplasm
0.26,0.34,0.25,0.35,cytoplasm
0.51,0.47,0.26,0.36,cytoplasm
0.5,0.42,0.36,0.45,cytoplasm
0.42,0.42,0.25,0.2,cytoplasm
0.43,0.37,0.28,0.38,cytoplasm
0.3,0.48,0.26,0.36,cytoplasm
0.42,0.45,0.25,0.35,cytoplasm
0.48,0.51,0.44,0.51,cytoplasm
0.28,0.43,0.27,0.37,cytoplasm
0.41,0.48,0.38,0.46,cytoplasm
0.28,0.41,0.35,0.44,cytoplasm
0.43,0.45,0.31,0.41,cytoplasm
0.47,0.41,0.23,0.34,cytoplasm
0.55,0.58,0.31,0.41,cytoplasm
0.56,0.43,0.45,0.53,cytoplasm
0.46,0.52,0.49,0.56,cytoplasm
0.49,0.49,0.46,0.53,cytoplasm
0.44,0.37,0.36,0.42,cytoplasm
0.51,0.27,0.23,0.34,cytoplasm
0.42,0.16,0.29,0.39,cytoplasm
0.46,0.52,0.35,0.44,cytoplasm
0.42,0.37,0.27,0.27,cytoplasm
0.43,0.5,0.24,0.25,cytoplasm
0.45,0.36,0.21,0.32,cytoplasm
0.47,0.29,0.28,0.39,cytoplasm
0.76,0.45,0.35,0.38,cytoplasm
0.37,0.3,0.34,0.43,cytoplasm
0.54,0.37,0.28,0.33,cytoplasm
0.55,0.34,0.37,0.28,cytoplasm
0.46,0.58,0.31,0.41,cytoplasm
0.4,0.63,0.25,0.35,cytoplasm
0.57,0.63,0.34,0.43,cytoplasm
0.26,0.54,0.16,0.28,cytoplasm
0.47,0.53,0.18,0.29,cytoplasm
0.34,0.38,0.3,0.4,cytoplasm
0.5,0.44,0.32,0.41,cytoplasm
0.49,0.39,0.38,0.4,cytoplasm
0.32,0.33,0.45,0.52,cytoplasm
0.43,0.49,0.3,0.4,cytoplasm
0.28,0.56,0.2,0.25,cytoplasm
0.33,0.6,0.06,0.2,cytoplasm
0.35,0.51,0.49,0.56,cytoplasm
0.34,0.46,0.3,0.27,cytoplasm
0.3,0.43,0.29,0.39,cytoplasm
0.44,0.43,0.2,0.31,cytoplasm
0.51,0.58,0.2,0.31,cytoplasm
0.42,0.41,0.34,0.43,cytoplasm
0.49,0.53,0.14,0.26,cytoplasm
0.51,0.37,0.42,0.5,cytoplasm
0.28,0.5,0.42,0.5,cytoplasm
0.26,0.39,0.32,0.42,cytoplasm
0.41,0.49,0.23,0.34,cytoplasm
0.39,0.53,0.3,0.39,cytoplasm
0.31,0.41,0.29,0.39,cytoplasm
0.36,0.49,0.35,0.44,cytoplasm
0.51,0.44,0.37,0.46,cytoplasm
0.33,0.45,0.22,0.33,cytoplasm
0.46,0.42,0.35,0.44,cytoplasm
0.34,0.43,0.26,0.37,cytoplasm
0.44,0.42,0.39,0.47,cytoplasm
0.38,0.42,0.48,0.55,cytoplasm
0.31,0.38,0.34,0.43,cytoplasm
0.44,0.49,0.22,0.33,cytoplasm
0.3,0.71,0.28,0.39,cytoplasm
0.52,0.49,0.37,0.46,cytoplasm
0.42,0.53,0.32,0.41,cytoplasm
0.37,0.43,0.18,0.3,cytoplasm
0.4,0.36,0.26,0.37,cytoplasm
0.41,0.55,0.22,0.33,cytoplasm
0.34,0.42,0.29,0.39,cytoplasm
0.35,0.44,0.52,0.59,cytoplasm
0.42,0.37,0.38,0.43,cytoplasm
0.43,0.54,0.27,0.37,cytoplasm
0.61,0.49,0.92,0.37,inner membrane without signal sequence
0.52,0.43,0.47,0.54,inner membrane without signal sequence
0.47,0.51,0.82,0.84,inner membrane without signal sequence
0.48,0.59,0.88,0.89,inner membrane without signal sequence
0.49,0.58,0.85,0.8,inner membrane without signal sequence
0.4,0.58,0.75,0.78,inner membrane without signal sequence
0.61,0.48,0.86,0.87,inner membrane without signal sequence
0.35,0.51,0.77,0.79,inner membrane without signal sequence
0.39,0.65,0.71,0.73,inner membrane without signal sequence
0.47,0.71,0.65,0.69,inner membrane without signal sequence
0.47,0.57,0.78,0.8,inner membrane without signal sequence
0.67,0.74,0.58,0.63,inner membrane without signal sequence
0.5,0.65,0.82,0.84,inner membrane without signal sequence
0.36,0.53,0.91,0.92,inner membrane without signal sequence
0.44,0.48,0.71,0.74,inner membrane without signal sequence
0.45,0.6,0.78,0.8,inner membrane without signal sequence
0.49,0.4,0.87,0.88,inner membrane without signal sequence
0.41,0.51,0.9,0.88,inner membrane without signal sequence
0.66,0.31,0.92,0.92,inner membrane without signal sequence
0.46,0.51,0.66,0.7,inner membrane without signal sequence
0.55,0.58,0.71,0.75,inner membrane without signal sequence
0.56,0.33,0.78,0.8,inner membrane without signal sequence
0.58,0.48,0.78,0.73,inner membrane without signal sequence
0.57,0.56,0.81,0.83,inner membrane without signal sequence
0.59,0.52,0.76,0.79,inner membrane without signal sequence
0.5,0.59,0.85,0.86,inner membrane without signal sequence
0.42,0.53,0.79,0.81,inner membrane without signal sequence
0.5,0.57,0.84,0.85,inner membrane without signal sequence
0.44,0.55,0.88,0.89,inner membrane without signal sequence
0.45,0.45,0.88,0.89,inner membrane without signal sequence
0.4,0.61,0.74,0.77,inner membrane without signal sequence
0.4,0.71,0.7,0.74,inner membrane without signal sequence
0.37,0.66,0.64,0.69,inner membrane without signal sequence
0.53,0.59,0.66,0.66,inner membrane without signal sequence
0.61,0.54,0.67,0.71,inner membrane without signal sequence
0.37,0.61,0.71,0.74,inner membrane without signal sequence
0.51,0.67,0.9,0.9,inner membrane without signal sequence
0.54,0.65,0.79,0.81,inner membrane without signal sequence
0.4,0.56,0.86,0.83,inner membrane without signal sequence
0.5,0.54,0.77,0.8,inner membrane without signal sequence
0.51,0.33,0.39,0.48,inner membrane without signal sequence
0.7,0.66,0.65,0.69,inner membrane without signal sequence
0.46,0.57,0.78,0.81,inner membrane without signal sequence
0.55,0.51,0.72,0.76,inner membrane without signal sequence
0.46,0.56,0.78,0.73,inner membrane without signal sequence
0.43,0.63,0.7,0.74,inner membrane without signal sequence
0.52,0.54,0.67,0.52,inner membrane without signal sequence
0.37,0.46,0.65,0.69,inner membrane without signal sequence
0.65,0.66,0.67,0.71,inner membrane without signal sequence
0.51,0.53,0.75,0.78,inner membrane without signal sequence
0.67,0.52,0.76,0.79,inner membrane without signal sequence
0.34,0.56,0.87,0.81,inner membrane without signal sequence
0.56,0.55,0.8,0.82,inner membrane without signal sequence
0.4,0.57,0.62,0.67,inner membrane without signal sequence
0.57,0.71,0.61,0.66,inner membrane without signal sequence
0.46,0.45,0.81,0.83,inner membrane without signal sequence
0.47,0.39,0.76,0.79,inner membrane without signal sequence
0.55,0.57,0.7,0.74,inner membrane without signal sequence
0.47,0.51,0.69,0.72,inner membrane without signal sequence
0.41,0.52,0.72,0.75,inner membrane without signal sequence
0.51,0.61,0.71,0.74,inner membrane without signal sequence
0.44,0.5,0.79,0.82,inner membrane without signal sequence
0.66,0.46,0.87,0.88,inner membrane without signal sequence
0.49,0.52,0.77,0.71,inner membrane without signal sequence
0.5,0.58,0.72,0.68,inner membrane without signal sequence
0.36,0.58,0.94,0.94,inner membrane without signal sequence
0.51,0.71,0.75,0.78,inner membrane without signal sequence
0.39,0.57,0.76,0.79,inner membrane without signal sequence
0.54,0.62,0.76,0.79,inner membrane without signal sequence
0.59,0.36,0.76,0.23,inner membrane without signal sequence
0.45,0.38,0.79,0.17,inner membrane without signal sequence
0.51,0.35,0.67,0.44,inner membrane without signal sequence
0.49,0.41,0.67,0.21,inner membrane without signal sequence
0.51,0.42,0.61,0.34,inner membrane without signal sequence
0.47,0,0.8,0.32,inner membrane without signal sequence
0.75,0.64,0.73,0.66,inner membrane without signal sequence
0.52,0.64,1,0.99,inner membrane without signal sequence
0.53,0.53,0.52,0.35,"inner membrane, cleavable signal sequence"
0.49,0.54,0.76,0.79,"inner membrane, cleavable signal sequence"
0.55,0.4,0.47,0.3,inner membrane lipoprotein
0.39,0.51,0.82,0.84,inner membrane lipoprotein
0.42,0.65,0.77,0.79,"inner membrane, uncleavable signal sequence"
0.41,0.66,0.81,0.83,"inner membrane, uncleavable signal sequence"
0.48,0.65,0.76,0.79,"inner membrane, uncleavable signal sequence"
0.43,0.59,0.74,0.77,"inner membrane, uncleavable signal sequence"
0.36,0.46,0.82,0.7,"inner membrane, uncleavable signal sequence"
0.33,0.57,0.77,0.79,"inner membrane, uncleavable signal sequence"
0.37,0.64,0.7,0.74,"inner membrane, uncleavable signal sequence"
0.29,0.64,0.75,0.77,"inner membrane, uncleavable signal sequence"
0.37,0.54,0.64,0.68,"inner membrane, uncleavable signal sequence"
0.48,0.54,0.7,0.74,"inner membrane, uncleavable signal sequence"
0.46,0.48,0.73,0.76,"inner membrane, uncleavable signal sequence"
0.71,0.5,0.71,0.75,"inner membrane, uncleavable signal sequence"
0.49,0.55,0.78,0.74,"inner membrane, uncleavable signal sequence"
0.55,0.51,0.78,0.74,"inner membrane, uncleavable signal sequence"
0.44,0.42,0.67,0.68,"inner membrane, uncleavable signal sequence"
0.6,0.59,0.73,0.76,"inner membrane, uncleavable signal sequence"
0.42,0.48,0.77,0.8,"inner membrane, uncleavable signal sequence"
0.42,0.58,0.79,0.81,"inner membrane, uncleavable signal sequence"
0.39,0.59,0.89,0.9,"inner membrane, uncleavable signal sequence"
0.53,0.57,0.87,0.88,"inner membrane, uncleavable signal sequence"
0.49,0.61,0.76,0.79,"inner membrane, uncleavable signal sequence"
0.46,0.62,0.74,0.77,"inner membrane, uncleavable signal sequence"
0.41,0.5,0.59,0.62,"inner membrane, uncleavable signal sequence"
0.53,0.7,0.86,0.87,"inner membrane, uncleavable signal sequence"
0.45,0.67,0.61,0.66,"inner membrane, uncleavable signal sequence"
0.52,0.57,0.78,0.8,"inner membrane, uncleavable signal sequence"
0.26,0.57,0.75,0.78,"inner membrane, uncleavable signal sequence"
0.61,0.56,0.71,0.74,"inner membrane, uncleavable signal sequence"
0.42,0.52,0.73,0.75,"inner membrane, uncleavable signal sequence"
0.54,0.75,0.92,0.7,"inner membrane, uncleavable signal sequence"
0.51,0.64,0.72,0.76,"inner membrane, uncleavable signal sequence"
0.55,0.63,0.81,0.83,"inner membrane, uncleavable signal sequence"
0.54,0.5,0.66,0.68,"inner membrane, uncleavable signal sequence"
0.38,0.06,0.49,0.33,"inner membrane, uncleavable signal sequence"
0.44,0.45,0.73,0.68,"inner membrane, uncleavable signal sequence"
0.68,0.83,0.4,0.29,outer membrane
0.69,0.65,0.41,0.28,outer membrane
0.88,0.73,0.5,0.25,outer membrane
0.75,0.51,0.33,0.33,outer membrane
0.84,0.74,0.54,0.37,outer membrane
0.9,0.57,0.53,0.29,outer membrane
0.84,0.86,0.58,0.29,outer membrane
0.76,0.83,0.57,0.3,outer membrane
0.57,0.88,0.53,0.2,outer membrane
0.78,0.75,0.54,0.15,outer membrane
0.76,0.84,0.45,0.27,outer membrane
0.68,0.77,0.36,0.45,outer membrane
0.51,0.66,0.54,0.33,outer membrane
0.81,0.72,0.38,0.38,outer membrane
0.57,0.7,0.33,0.26,outer membrane
0.76,0.77,0.59,0.52,outer membrane
0.59,0.77,0.39,0.21,outer membrane
0.49,0.79,0.45,0.28,outer membrane
0.71,0.68,0.43,0.36,outer membrane
0.63,0.73,0.4,0.3,outer membrane
0.57,0.37,0.54,0.01,outer membrane lipoprotein
0.49,0.54,0.56,0.36,outer membrane lipoprotein
0.46,0.52,0.59,0.3,outer membrane lipoprotein
0.55,0.66,0.58,0.16,outer membrane lipoprotein
0.49,0.62,0.55,0.28,outer membrane lipoprotein
0.49,0.42,0.54,0.36,perisplasm
0.61,0.56,0.52,0.43,perisplasm
0.86,0.34,0.41,0.36,perisplasm
0.78,0.58,0.51,0.31,perisplasm
0.57,0.47,0.47,0.51,perisplasm
0.86,0.17,0.55,0.21,perisplasm
0.7,0.46,0.45,0.33,perisplasm
0.81,0.54,0.49,0.23,perisplasm
0.61,0.51,0.37,0.38,perisplasm
1,0.35,0.51,0.49,perisplasm
0.59,0.39,0.47,0.33,perisplasm
0.71,0.4,0.54,0.39,perisplasm
0.74,0.31,0.38,0.43,perisplasm
0.81,0.25,0.42,0.25,perisplasm
0.72,0.49,0.42,0.19,perisplasm
0.82,0.38,0.65,0.56,perisplasm
0.39,0.53,0.28,0.38,perisplasm
0.64,0.47,0.51,0.47,perisplasm
0.57,0.49,0.7,0.2,perisplasm
0.82,0.49,0.49,0.41,perisplasm
0.86,0.39,0.47,0.34,perisplasm
0.83,0.4,0.39,0.19,perisplasm
0.71,0.6,0.4,0.39,perisplasm
0.86,0.4,0.54,0.32,perisplasm
0.78,0.43,0.44,0.42,perisplasm
0.84,0.37,0.45,0.4,perisplasm
0.47,0.5,0.57,0.42,perisplasm
0.84,0.35,0.52,0.33,perisplasm
0.65,0.39,0.44,0.35,perisplasm
0.67,0.3,0.39,0.24,perisplasm
0.71,0.42,0.84,0.85,perisplasm
0.8,0.46,0.57,0.26,perisplasm
0.66,0.41,0.39,0.2,perisplasm
0.8,0.46,0.31,0.29,perisplasm
0.71,0.41,0.5,0.35,perisplasm
0.59,0.46,0.44,0.52,perisplasm
0.67,0.49,0.4,0.34,perisplasm
0.78,0.5,0.36,0.38,perisplasm
0.78,0.47,0.49,0.54,perisplasm
0.73,0.44,0.39,0.39,perisplasm
0.81,0.37,0.39,0.44,perisplasm
0.39,0.52,0.4,0.48,perisplasm
0.83,0.46,0.36,0.4,perisplasm
0.54,0.43,0.37,0.3,perisplasm
0.66,0.41,0.5,0.25,perisplasm
0.65,0.63,0.48,0.41,perisplasm
0.59,0.52,0.49,0.56,perisplasm
0.56,0.47,0.68,0.3,perisplasm
0.57,0.48,0.35,0.32,perisplasm
0.6,0.44,0.39,0.38,perisplasm
0.61,0.42,0.42,0.37,perisplasm
0.74,0.31,0.53,0.52,perisplasm